Unique ID,Title,Category,Source,Owner,Status,Proposed URL,
1,List of Dog Breeds,Dog Breeds,http://en.wikipedia.org/wiki/List_of_dog_breeds,Stephanie,To be edited,www.dogsite.com/breeds/index.html,
2,Police Dog Breeds,Dog Breeds,http://en.wikipedia.org/wiki/List_of_police_dog_breeds,Stephanie,Done,www.dogsite.com/breeds/police-dogs.html,
3,List of Famous Dogs,Dog Breeds,http://en.wikipedia.org/wiki/List_of_individual_dogs,Stephanie,To be edited,www.dogsite.com/breeds/famous-dogs.html,
4,Most Popular Dog Breeds,Dog Breeds,http://en.wikipedia.org/wiki/List_of_most_popular_dog_breeds,Stephanie,To be edited,www.dogsite.com/breeds/popular-breeds.html,
5,Tear Stains,Dog Grooming,http://www.nextdaypets.com/directory/dogs/articles/tear-stains~166.aspx,Stephanie,Done,www.dogsite.com/grooming/tear-stains.html,
6,Coats,Dog Grooming,http://www.nextdaypets.com/directory/dogs/articles/shiny-coats-mean-healthy-dogs~159.aspx,Stephanie,Done,www.dogsite.com/grooming/coats.html,
7,Shedding,Dog Grooming,http://www.nextdaypets.com/directory/dogs/articles/shedup-with-dog-hair~158.aspx,Stephanie ,To be edited,www.dogsite.com/grooming/shedding.html,
8,Nails,Dog Grooming,http://www.nextdaypets.com/directory/dogs/articles/clipping-your-dogs-nails~130.aspx,Stephanie,To be edited,www.dogsite.com/grooming/nails.html,
9,Dental Care,Dog Grooming,http://www.nextdaypets.com/directory/dogs/articles/brushing-your-dogs-teeth~124.aspx,Stephanie,To be edited,www.dogsite.com/grooming/dental-care.html,
10,List of Herding Dog Breeds ,Dog Breeds,http://www.nextdaypets.com/directory/breeds/herding-breed-group/,Stephanie,To be edited,www.dogsite.com/breeds/herding-breeds.html,
11,Tips for Traveling with a dog,Traveling With or Without your Dog,http://www.akc.org/public_education/travel_tips.cfm,Stephanie,To be edited,www.dogsite.com/travel/tips.html,
12,101 Tips for proper dog care,Dog Grooming,http://www.akc.org/public_education/responsible_dog_owner.cfm,Stephanie,To be edited,www.dogsite.com/grooming/101-tips.html,
13,Dog Boarding,Traveling With or Without your Dog,http://www.akc.org/public_education/boarding_your_dog.cfm,Stephanie,To be edited,www.dogsite.com/travel/dog-boarding.html,
14,Reversing Bad Dog Behaviour,Socializing Your Dog,http://www.nextdaypets.com/directory/dogs/articles/reversing-bad-behavior~156.aspx,Stephanie,To be edited,www.dogsite.com/socializing/bad-behaviour.html,
15,Properly Socializing your Dog,Socializing Your Dog,http://www.petfinder.com/dogs/dog-training/socializing-puppy/,Stephanie,Done,www.dogsite.com/socializing/proper-socializing.html,
16,Crate Training your Dog,Traveling With or Without your Dog,http://www.petfinder.com/dogs/dog-training/benefits-dog-crate-training/,Stephanie,To be edited,www.dogsite.com/travel/crate-training.html,
17,The benefits of multiple pets,For Prospective Dog Owners,http://www.petfinder.com/pet-adoption/dog-adoption/banfield-benefits-of-multiple-pets/,Stephanie,Done,www.dogsite.com/dog-owners/multiple-pets.html,
18,What kind of pet is right for you?,For Prospective Dog Owners,http://www.petfinder.com/pet-adoption/dog-adoption/type-dog-adoption/,Stephanie,To be edited,www.dogsite.com/dog-owners/what-kind.html,
19,Costs of having a dog,For Prospective Dog Owners,http://www.petfinder.com/pet-adoption/dog-adoption/costs-dog/,Stephanie,To be edited,www.dogsite.com/dog-owners/costs.html,
20,Things to consider before adopting,For Prospective Dog Owners,http://www.petfinder.com/pet-adoption/dog-adoption/before-dog-adoption/,Stephanie,To be edited,www.dogsite.com/dog-owners/adopting-questions.html,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
